レポート開始日,レポート終了日,広告の名前,広告の配信,広告セット名,入札,入札タイプ,広告セットの予算,広告セットの予算タイプ,前回の大きな変更,アトリビューション設定,結果,結果インジケーター,リーチ,インプレッション,結果の単価,品質ランキング,エンゲージメント率ランキング,コンバージョン率ランキング,"消化金額 (JPY)",終了日時,"CPC(リンククリックの単価) (JPY)",結果のROAS,結果ROASインジケーター,CTR(リンククリックスルー率),CTR(すべて),"CPC(すべて) (JPY)",広告の目的,リンクのクリック,クリック(すべて),"アウトバウンドCTR (クリック率)","ユニークアウトバウンドCTR (クリック率)",寄付のROAS(広告費用対効果),購入ROAS(広告費用対効果),"CPM(インプレッション単価) (JPY)",フリークエンシー,購入,広告セットID,動画再生数,写真表示数,actions:onsite_conversion.messaging_welcome_message_view,インスタントエクスペリエンスを開いたクリック数,インスタントエクスペリエンスを開始したクリック数,インスタントエクスペリエンスのアウトバウンドクリック数,shop_clicks
2025-10-26,2025-11-24,,0,,0,0,0,0,0,複数アトリビューション設定,,,49939,111873,,―,―,―,379270,,,,,,1.701036,199.301104,複数,,1903,,,,,3390.183512,2.240193,,0,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,645,actions:omni_landing_page_view,32804,49811,46.8620155,―,―,―,30226,継続,45.727685,,,1.327016,1.579972,38.406607,トラフィック,661,787,1.327016,1.902207,,,606.813756,1.518443,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,38,actions:offsite_conversion.fb_pixel_purchase,13456,48158,7904.60526316,―,―,―,300375,継続,590.127701,,,1.056938,1.721417,362.334138,売上,509,829,1.056938,3.203032,,,6237.281449,3.578924,38,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,7,actions:offsite_conversion.fb_pixel_purchase,6062,13904,6952.71428571,平均,平均以上,平均,48669,継続,197.040486,,,1.776467,2.064154,169.578397,売上,247,287,1.71893,2.276476,,,3500.359609,2.293632,7,120230039246260231,,,,0,0,,
