レポート開始日,レポート終了日,広告の名前,時間帯(広告アカウントの時間帯),広告の配信,広告セット名,入札,入札タイプ,広告セットの予算,広告セットの予算タイプ,前回の大きな変更,アトリビューション設定,結果,結果インジケーター,リーチ,インプレッション,結果の単価,品質ランキング,エンゲージメント率ランキング,コンバージョン率ランキング,"消化金額 (JPY)",終了日時,"CPC(リンククリックの単価) (JPY)",結果のROAS,結果ROASインジケーター,CTR(リンククリックスルー率),CTR(すべて),"CPC(すべて) (JPY)",広告の目的,リンクのクリック,クリック(すべて),"アウトバウンドCTR (クリック率)","ユニークアウトバウンドCTR (クリック率)",寄付のROAS(広告費用対効果),購入ROAS(広告費用対効果),"CPM(インプレッション単価) (JPY)",フリークエンシー,購入,広告セットID,動画再生数,写真表示数,actions:onsite_conversion.messaging_welcome_message_view,インスタントエクスペリエンスを開いたクリック数,インスタントエクスペリエンスを開始したクリック数,インスタントエクスペリエンスのアウトバウンドクリック数,shop_clicks
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"09:00:00 - 09:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,,,0,688,,―,―,―,2975,継続,495.833333,,,0.872093,1.453488,297.5,売上,6,10,0.726744,,,,4324.127907,0,,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"10:00:00 - 10:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,14,actions:omni_landing_page_view,0,1681,70.57142857,―,―,―,988,継続,70.571429,,,0.832838,1.011303,58.117647,トラフィック,14,17,0.832838,,,,587.74539,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"10:00:00 - 10:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,3,actions:offsite_conversion.fb_pixel_purchase,0,1977,3819,―,―,―,11457,継続,424.333333,,,1.365706,1.922104,301.5,売上,27,38,1.365706,,,,5795.144158,0,3,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"10:00:00 - 10:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,,,0,832,,―,―,―,2784,継続,92.8,,,3.605769,3.605769,92.8,売上,30,30,3.605769,,,,3346.153846,0,,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"11:00:00 - 11:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,23,actions:omni_landing_page_view,0,1463,39,―,―,―,897,継続,40.772727,,,1.503759,1.982228,30.931034,トラフィック,22,29,1.503759,,,,613.123718,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"11:00:00 - 11:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,3,actions:offsite_conversion.fb_pixel_purchase,0,2080,4562.66666667,―,―,―,13688,継続,977.714286,,,0.673077,1.057692,622.181818,売上,14,22,0.673077,,,,6580.769231,0,3,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"11:00:00 - 11:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,,,0,656,,―,―,―,2249,継続,187.416667,,,1.829268,1.52439,224.9,売上,12,10,1.829268,,,,3428.353659,0,,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"12:00:00 - 12:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,22,actions:omni_landing_page_view,0,2095,62.72727273,―,―,―,1380,継続,62.727273,,,1.050119,1.145585,57.5,トラフィック,22,24,1.050119,,,,658.711217,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"12:00:00 - 12:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,2,actions:offsite_conversion.fb_pixel_purchase,0,2766,7371.5,―,―,―,14743,継続,491.433333,,,1.084599,1.771511,300.877551,売上,30,49,1.084599,,,,5330.079537,0,2,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"12:00:00 - 12:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,3,actions:offsite_conversion.fb_pixel_purchase,0,801,834.66666667,―,―,―,2504,継続,278.222222,,,1.123596,1.498127,208.666667,売上,9,12,1.123596,,,,3126.092385,0,3,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"13:00:00 - 13:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,21,actions:omni_landing_page_view,0,1955,56.04761905,―,―,―,1177,継続,53.5,,,1.12532,1.381074,43.592593,トラフィック,22,27,1.12532,,,,602.046036,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"13:00:00 - 13:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,1,actions:offsite_conversion.fb_pixel_purchase,0,2380,15434,―,―,―,15434,継続,497.870968,,,1.302521,2.142857,302.627451,売上,31,51,1.302521,,,,6484.87395,0,1,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"13:00:00 - 13:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,,,0,945,,―,―,―,2643,継続,330.375,,,0.846561,1.375661,203.307692,売上,8,13,0.740741,,,,2796.825397,0,,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"14:00:00 - 14:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,20,actions:omni_landing_page_view,0,1976,59.3,―,―,―,1186,継続,56.47619,,,1.062753,1.265182,47.44,トラフィック,21,25,1.062753,,,,600.202429,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"14:00:00 - 14:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,6,actions:offsite_conversion.fb_pixel_purchase,0,2331,2447.5,―,―,―,14685,継続,564.807692,,,1.115401,1.758902,358.170732,売上,26,41,1.115401,,,,6299.8713,0,6,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"14:00:00 - 14:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,,,0,778,,―,―,―,2664,継続,296,,,1.156812,1.413882,242.181818,売上,9,11,1.028278,,,,3424.164524,0,,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"15:00:00 - 15:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,25,actions:omni_landing_page_view,0,2334,53.48,―,―,―,1337,継続,51.423077,,,1.113967,1.585261,36.135135,トラフィック,26,37,1.113967,,,,572.836332,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"15:00:00 - 15:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,2,actions:offsite_conversion.fb_pixel_purchase,0,2294,6796.5,―,―,―,13593,継続,566.375,,,1.046208,1.656495,357.710526,売上,24,38,1.046208,,,,5925.457716,0,2,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"15:00:00 - 15:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,,,0,638,,―,―,―,2242,継続,320.285714,,,1.097179,1.567398,224.2,売上,7,10,0.940439,,,,3514.106583,0,,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"16:00:00 - 16:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,27,actions:omni_landing_page_view,0,2646,56.85185185,―,―,―,1535,継続,47.96875,,,1.209373,1.587302,36.547619,トラフィック,32,42,1.209373,,,,580.120937,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"16:00:00 - 16:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,2,actions:offsite_conversion.fb_pixel_purchase,0,2386,7673.5,―,―,―,15347,継続,730.809524,,,0.880134,1.299246,495.064516,売上,21,31,0.880134,,,,6432.10394,0,2,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"16:00:00 - 16:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,,,0,755,,―,―,―,2489,継続,80.290323,,,4.10596,3.576159,92.185185,売上,31,27,4.10596,,,,3296.688742,0,,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"17:00:00 - 17:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,41,actions:omni_landing_page_view,0,3131,48.24390244,―,―,―,1978,継続,47.095238,,,1.341424,1.533057,41.208333,トラフィック,42,48,1.341424,,,,631.747046,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"17:00:00 - 17:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,2,actions:offsite_conversion.fb_pixel_purchase,0,2486,7600,―,―,―,15200,継続,760,,,0.804505,1.448109,422.222222,売上,20,36,0.804505,,,,6114.239743,0,2,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"17:00:00 - 17:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,1,actions:offsite_conversion.fb_pixel_purchase,0,687,2242,―,―,―,2242,継続,160.142857,,,2.037846,2.328967,140.125,売上,14,16,1.892285,,,,3263.464338,0,1,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"18:00:00 - 18:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,40,actions:omni_landing_page_view,0,2890,44.225,―,―,―,1769,継続,42.119048,,,1.453287,1.764706,34.686275,トラフィック,42,51,1.453287,,,,612.110727,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"18:00:00 - 18:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,2,actions:offsite_conversion.fb_pixel_purchase,0,2590,7078,―,―,―,14156,継続,524.296296,,,1.042471,1.583012,345.268293,売上,27,41,1.042471,,,,5465.637066,0,2,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"18:00:00 - 18:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,,,0,625,,―,―,―,2134,継続,237.111111,,,1.44,1.76,194,売上,9,11,1.44,,,,3414.4,0,,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"19:00:00 - 19:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,27,actions:omni_landing_page_view,0,2609,59,―,―,―,1593,継続,41.921053,,,1.456497,1.801457,33.893617,トラフィック,38,47,1.456497,,,,610.578766,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"19:00:00 - 19:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,,,0,2845,,―,―,―,16653,継続,640.5,,,0.913884,1.68717,346.9375,売上,26,48,0.913884,,,,5853.427065,0,,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"19:00:00 - 19:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,,,0,764,,―,―,―,2422,継続,186.307692,,,1.701571,2.879581,110.090909,売上,13,22,1.701571,,,,3170.157068,0,,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"20:00:00 - 20:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,54,actions:omni_landing_page_view,0,3344,39,―,―,―,2106,継続,39,,,1.614833,1.704545,36.947368,トラフィック,54,57,1.614833,,,,629.784689,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"20:00:00 - 20:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,2,actions:offsite_conversion.fb_pixel_purchase,0,3580,10277.5,―,―,―,20555,継続,642.34375,,,0.893855,1.648045,348.389831,売上,32,59,0.893855,,,,5741.620112,0,2,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"20:00:00 - 20:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,,,0,830,,―,―,―,3004,継続,130.608696,,,2.771084,3.13253,115.538462,売上,23,26,2.650602,,,,3619.277108,0,,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"21:00:00 - 21:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,62,actions:omni_landing_page_view,0,4477,41.96774194,―,―,―,2602,継続,42.655738,,,1.36252,1.496538,38.835821,トラフィック,61,67,1.36252,,,,581.192763,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"21:00:00 - 21:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,1,actions:offsite_conversion.fb_pixel_purchase,0,3545,23073,―,―,―,23073,継続,721.03125,,,0.90268,1.269394,512.733333,売上,32,45,0.90268,,,,6508.603667,0,1,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"21:00:00 - 21:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,1,actions:offsite_conversion.fb_pixel_purchase,0,806,3075,―,―,―,3075,継続,205,,,1.861042,1.985112,192.1875,売上,15,16,1.861042,,,,3815.136476,0,1,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"22:00:00 - 22:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,53,actions:omni_landing_page_view,0,3565,41.9245283,―,―,―,2222,継続,45.346939,,,1.374474,1.626928,38.310345,トラフィック,49,58,1.374474,,,,623.281907,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"22:00:00 - 22:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,2,actions:offsite_conversion.fb_pixel_purchase,0,3477,10204,―,―,―,20408,継続,551.567568,,,1.064136,1.696865,345.898305,売上,37,59,1.064136,,,,5869.427668,0,2,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"22:00:00 - 22:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,,,0,794,,―,―,―,3107,継続,310.7,,,1.259446,1.63728,239,売上,10,13,1.259446,,,,3913.098237,0,,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"23:00:00 - 23:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,59,actions:omni_landing_page_view,0,3548,38.59322034,―,―,―,2277,継続,35.030769,,,1.832018,2.085682,30.77027,トラフィック,65,74,1.832018,,,,641.770011,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"23:00:00 - 23:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,3,actions:offsite_conversion.fb_pixel_purchase,0,2621,5490.66666667,―,―,―,16472,継続,499.151515,,,1.259061,2.136589,294.142857,売上,33,56,1.259061,,,,6284.624189,0,3,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"23:00:00 - 23:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,,,0,590,,―,―,―,2229,継続,202.636364,,,1.864407,1.864407,202.636364,売上,11,11,1.864407,,,,3777.966102,0,,120230039246260231,,,,0,0,,
