レポート開始日,レポート終了日,キャンペーン名,キャンペーンの配信,広告セットの予算,広告セットの予算タイプ,アトリビューション設定,結果,結果インジケーター,リーチ,インプレッション,結果の単価,"消化金額 (JPY)",終了日時,"CPC(リンククリックの単価) (JPY)",結果のROAS,結果ROASインジケーター,CTR(リンククリックスルー率),CTR(すべて),"CPC(すべて) (JPY)",広告の目的,リンクのクリック,クリック(すべて),"アウトバウンドCTR (クリック率)","ユニークアウトバウンドCTR (クリック率)",寄付のROAS(広告費用対効果),購入ROAS(広告費用対効果)
2025-10-26,2025-11-24,,0,0,0,複数アトリビューション設定,,,49939,111873,,379270,,,,,,1.701036,199.301104,複数,,1903,,,,
2025-10-26,2025-11-24,"【トラフィック】2022.03.03~ 蓄積copy",inactive,666,1日,-,,,0,0,,0,継続,,,,,0,0,0,,0,,,,
2025-10-26,2025-11-24,"【リーチ】2022.03.03 蓄積copy",inactive,666,1日,-,,,0,0,,0,継続,,,,,0,0,0,,0,,,,
2025-10-26,2025-11-24,"★★2022.03.03~ 【リード獲得】 - コピー",inactive,700,1日,-,,,0,0,,0,継続,,,,,0,0,0,,0,,,,
2025-10-26,2025-11-24,"【コンバージョン】22'06~蓄積 - コピー",inactive,4000,1日,-,,,0,0,,0,継続,,,,,0,0,0,,0,,,,
2025-10-26,2025-11-24,"【売上】常時OPENHOUSE 2024.06.01~",inactive,1344,1日,-,,,0,0,,0,継続,,,,,0,0,0,,0,,,,
2025-10-26,2025-11-24,"【トラフィック】2025.07.03~ LP最大化",active,1000,1日,クリックから7日間、または表示から1日間,645,actions:omni_landing_page_view,32804,49811,46.8620155,30226,継続,45.727685,,,1.327016,1.579972,38.406607,トラフィック,661,787,1.327016,1.902207,,
2025-10-26,2025-11-24,【コンバージョン】2025.07.01~,active,18300,1日,クリックから7日間、または表示から1日間,,,13456,48158,,300375,継続,590.127701,,,1.056938,1.721417,362.334138,売上,509,829,1.056938,3.203032,,
2025-10-26,2025-11-24,"【売上】常時OPENHOUSE 2025.07.01~",active,1600,1日,クリックから7日間、または表示から1日間,7,actions:offsite_conversion.fb_pixel_purchase,6062,13904,6952.71428571,48669,継続,197.040486,,,1.776467,2.064154,169.578397,売上,247,287,1.71893,2.276476,,
