レポート開始日,レポート終了日,キャンペーン名,キャンペーンの配信,広告セットの予算,広告セットの予算タイプ,アトリビューション設定,結果,結果インジケーター,リーチ,インプレッション,結果の単価,"消化金額 (JPY)",終了日時,"CPM(インプレッション単価) (JPY)",購入ROAS(広告費用対効果),フリークエンシー,購入,"CPC(リンククリックの単価) (JPY)",結果のROAS,結果ROASインジケーター,CTR(リンククリックスルー率),CTR(すべて),"CPC(すべて) (JPY)"
2025-01-01,2025-11-30,"【トラフィック】2022.03.03~ 蓄積copy",inactive,666,1日,クリックから7日間、または表示から1日間,4972,actions:link_click,96424,236322,24.30792438,120859,継続,511.416626,,2.450863,,24.307924,,,2.103909,2.403077,21.28174
2025-01-01,2025-11-30,"【リーチ】2022.03.03 蓄積copy",inactive,666,1日,クリックから7日間、または表示から1日間,437711,reach,437711,1513174,276.07028382,120839,継続,79.857967,,3.457016,,224.607807,,,0.035554,0.068994,115.746169
2025-01-01,2025-11-30,"★★2022.03.03~ 【リード獲得】 - コピー",inactive,700,1日,-,,,0,0,,0,継続,0,,0,,,,,,0,0
2025-01-01,2025-11-30,"【コンバージョン】22'06~蓄積 - コピー",inactive,4000,1日,クリックから7日間、または表示から1日間,,,47796,215912,,846197,継続,3919.175405,,4.517365,117,469.848418,,,0.834136,1.553874,252.219672
2025-01-01,2025-11-30,"【売上】常時OPENHOUSE 2024.06.01~",inactive,1344,1日,クリックから7日間、または表示から1日間,49,actions:offsite_conversion.fb_pixel_purchase,22247,78905,6081.30612245,297984,継続,3776.490717,,3.54677,49,347.705951,,,1.086116,1.653888,228.34023
2025-01-01,2025-11-30,"【トラフィック】2025.07.03~ LP最大化",active,1000,1日,クリックから7日間、または表示から1日間,3540,actions:omni_landing_page_view,143415,291154,42.23446328,149510,継続,513.508315,,2.03015,,41.576752,,,1.235085,1.398573,36.716601
2025-01-01,2025-11-30,【コンバージョン】2025.07.01~,active,18300,1日,クリックから7日間、または表示から1日間,,,53266,256174,,1187808,継続,4636.723477,,4.809334,182,558.180451,,,0.830685,1.438085,322.423453
2025-01-01,2025-11-30,"【売上】常時OPENHOUSE 2025.07.01~",active,1600,1日,クリックから7日間、または表示から1日間,65,actions:offsite_conversion.fb_pixel_purchase,30518,83817,3676.87692308,238997,継続,2851.414391,,2.746477,65,179.561983,,,1.587983,2.009139,141.922209
