名前,タグ,購入リンク,総数,金額,購入数,単価,内容物数,納品
サンタボール,参加賞,https://amzn.asia/d/fnx1Jtu,144,7626,6,"￥1,271",24,Yes
レインボースプリング,参加賞,https://amzn.asia/d/0LuUprs,150,6995,5,"￥1,399",30,Yes
光るヨーヨー,景品,https://amzn.asia/d/fA5ctpd,10,1968,1,"￥1,968",10,No
光る竹トンボ,景品,https://amzn.asia/d/j2OWvAP,10,2880,1,"￥2,880",10,Yes
ミニパラシュート,景品,https://amzn.asia/d/foX3reR,12,2468,2,"￥1,234",6,Yes
コマ,景品,https://amzn.asia/d/aSdtJDL,10,2880,1,"￥2,880",10,Yes
モンスター ボールペン,景品,https://amzn.asia/d/6nAvLCg,18,3786,3,"￥1,262",6,Yes
鉛筆,参加賞,https://amzn.asia/d/7AkOtKe,144,7794,6,"￥1,299",24,Yes
クリスマス 袋 120個セット,ラッピング,https://amzn.asia/d/69pWbkA,240,2598,2,"￥1,299",120,Yes
