名前,担当者,購入金額,購入数,単価
ゆずりは,高見,11408,23,￥496
とちのき,y.i,12400,25,￥496
なのはな,michiyo,16864,34,￥496
こすもす,y.i,13392,27,￥496
すずらん,高見,14880,30,￥496
